Код	№ Паспорта	ФИО	Адрес	Размер ссуды, руб	Срок ссуды, мес	Цель ссуды	Среднемесячный доход, руб	Среднемесячный расход, руб	Основное направление расходов	Наличие недвижимости	Наличие автотранспорта	Наличие банковского счета	Наличие страховки	Название организации	Отраслевая принадлежность предприятия	Срок работы на данном предприятии, лет	Направление деятельности заемщика	Срок работы на данном направлении, лет	Пол	Семейное положение	Количество лет	Количество иждивенцев	Срок проживания в данной местности, лет	Обеспеченность займа	Давать кредит
110	3303-890133	1	1	19500	12	Покупка и ремонт недвижимости	12500	5000	Иное	Да	Нет	Нет	Да	1	Наука и культура	7	Участие в основной деятельности	8	Жен	Да	40	2	15	ИСТИНА	ИСТИНА
111	4942-848967	1	1	39500	12	Иное	22500	13500	Покупка товаров длит. пользования	Да	Да	Нет	Нет	1	Торговля оптовая, поср. деательность	8	Участие в основной деятельности	10	Муж	Да	22	1	8	ИСТИНА	ИСТИНА
112	6903-969746	1	1	52000	24	Покупка товара	11000	5000	Покупка и ремонт недвижимости	Да	Да	Нет	Нет	1	Коммунальное хо-во / Сфера услуг	4	Вспомогательный технический персонал	5	Жен	Да	37	3	17	ИСТИНА	ИСТИНА
113	0928-129609	1	1	18000	12	Турпоездки, развлечения и т.п.	11000	5500	Покупка и ремонт недвижимости	Да	Нет	Нет	Нет	1	Федеральное и муниципальное управление	8	Участие в основной деятельности	9	Жен	Да	30	0	18	ИСТИНА	ИСТИНА
114	5356-721930	1	1	16500	12	Покупка товара	7000	5500	Затраты на образование (в т.ч. детей)	Да	Да	Нет	Нет	1	Финансы, банковское дело	3	Участие в основной деятельности	4	Муж	Нет	25	1	15	ЛОЖЬ	ЛОЖЬ
115	9833-874623	1	1	46500	24	Покупка товара	13000	7000	Содержание/аренда недвижимости, а/т	Нет	Да	Да	Нет	1	Образование (гос.)	4	Участие в основной деятельности	4	Муж	Да	50	2	24	ИСТИНА	ИСТИНА
116	3983-443058	1	1	35500	30	Покупка и ремонт недвижимости	6000	3500	Одежда, продукты питания и т.п.	Да	Да	Нет	Нет	1	Машиностроение и металлообработка	3	Участие в основной деятельности	4	Жен	Да	24	1	17	ИСТИНА	ИСТИНА
117	1679-319775	1	1	16500	12	Покупка и ремонт недвижимости	7500	3000	Помощь родственникам	Нет	Нет	Нет	Нет	1	Сборочные производства	6	Вспомогательный технический персонал	8	Жен	Нет	22	0	5	ИСТИНА	ЛОЖЬ
118	9594-369543	1	1	9000	6	Оплата за образование	11500	5000	Одежда, продукты питания и т.п.	Нет	Да	Нет	Нет	1	Туризм	7	Участие в основной деятельности	10	Муж	Да	70	3	40	ИСТИНА	ЛОЖЬ
119	0871-781299	1	1	2000	6	Покупка товара	2000	1000	Турпоездки, развлечения и т.п.	Нет	Да	Нет	Нет	1	Транспорт и связь	6	Участие в основной деятельности	8	Жен	Нет	19	1	6	ИСТИНА	ЛОЖЬ
120	0712-939798	1	1	12500	12	Покупка и ремонт недвижимости	7500	4000	Покупка товаров длит. пользования	Да	Да	Да	Да	1	Туризм	10	Участие в основной деятельности	11	Муж	Да	44	2	24	ИСТИНА	ИСТИНА
121	6589-139852	1	1	25500	12	Покупка товара	12500	7500	Покупка товаров длит. пользования	Да	Да	Нет	Нет	1	Сборочные производства	3	Кадровая служба и секритариат	3	Муж	Да	62	2	34	ИСТИНА	ИСТИНА
122	3139-638958	1	1	14000	12	Оплата за образование	6000	3500	Покупка товаров длит. пользования	Да	Да	Нет	Нет	1	Иное	2	Участие в основной деятельности	5	Жен	Нет	21	1	14	ИСТИНА	ИСТИНА
123	6123-420023	1	1	29000	18	Покупка и ремонт недвижимости	9000	4000	Затраты на образование (в т.ч. детей)	Да	Да	Нет	Нет	1	Увесилительный, игровой и шой-бизнес	3	Участие в основной деятельности	6	Муж	Да	25	1	4	ИСТИНА	ЛОЖЬ
124	9195-659610	1	1	32000	18	Оплата за образование	14000	5000	Покупка товаров длит. пользования	Да	Да	Да	Нет	1	Сборочные производства	5	Участие в основной деятельности	5	Муж	Да	64	2	34	ИСТИНА	ИСТИНА
125	1035-090747	1	1	39000	12	Покупка товара	18000	9500	Содержание/аренда недвижимости, а/т	Да	Да	Нет	Да	1	Транспорт и связь	5	Участие в основной деятельности	7	Муж	Да	54	3	32	ИСТИНА	ИСТИНА
126	8749-478987	1	1	32500	18	Покупка и ремонт недвижимости	17500	11000	Оплата услуг (мед., юрид. и т.п.)	Нет	Нет	Нет	Нет	1	Реклама, PR-Агенства, СМИ	4	Участие в основной деятельности	6	Жен	Да	70	2	31	ИСТИНА	ЛОЖЬ
127	6021-680526	1	1	13000	6	Покупка и ремонт недвижимости	13000	6000	Турпоездки, развлечения и т.п.	Да	Да	Нет	Нет	1	Увесилительный, игровой и шой-бизнес	6	Адм.-хоз. и транспортная службы	7	Жен	Да	19	1	5	ИСТИНА	ЛОЖЬ
128	6910-001081	1	1	50500	24	Покупка и ремонт недвижимости	11000	6500	Турпоездки, развлечения и т.п.	Да	Нет	Нет	Нет	1	Финансы, банковское дело	6	Снабжение и сбыт	8	Муж	Да	33	3	15	ИСТИНА	ИСТИНА
129	8757-824310	1	1	13500	12	Оплата за образование	6000	3500	Одежда, продукты питания и т.п.	Да	Да	Нет	Нет	1	Транспорт и связь	4	Участие в основной деятельности	6	Жен	Нет	46	2	21	ИСТИНА	ИСТИНА
130	0130-728515	1	1	6000	6	Оплата за образование	5500	4000	Покупка товаров длит. пользования	Да	Да	Нет	Нет	1	Легкая и пищевая промышленность	3	Бухгалтерия, финансы и планирование	3	Муж	Да	53	3	26	ИСТИНА	ИСТИНА
131	2241-560368	1	1	11500	6	Иное	16000	7500	Покупка товаров длит. пользования	Нет	Нет	Нет	Нет	1	Торговля оптовая, поср. деательность	3	Вспомогательный технический персонал	5	Муж	Да	39	2	22	ИСТИНА	ЛОЖЬ
132	4787-184424	1	1	32000	18	Иное	13000	8000	Иное	Да	Да	Нет	Нет	1	Федеральное и муниципальное управление	4	Пр.-техн. обесп. и телекомуникации	5	Муж	Нет	24	0	12	ИСТИНА	ИСТИНА
133	9634-877164	1	1	31500	18	Оплата за образование	9000	4500	Покупка и ремонт недвижимости	Да	Да	Нет	Нет	1	Образование (комерч.)	7	Участие в основной деятельности	8	Жен	Нет	21	1	11	ИСТИНА	ИСТИНА
134	8290-584321	1	1	35500	18	Иное	13000	5500	Одежда, продукты питания и т.п.	Да	Да	Нет	Нет	1	Федеральное и муниципальное управление	4	Адм.-хоз. и транспортная службы	6	Муж	Да	28	0	21	ИСТИНА	ИСТИНА
135	1612-510233	1	1	43500	18	Покупка товара	12500	6500	Затраты на образование (в т.ч. детей)	Да	Нет	Нет	Нет	1	Ощественное питание	7	Участие в основной деятельности	8	Муж	Да	22	1	21	ИСТИНА	ИСТИНА
136	7580-433438	1	1	14000	12	Покупка товара	8000	4500	Оплата услуг (мед., юрид. и т.п.)	Да	Да	Да	Нет	1	Наука и культура	8	Участие в основной деятельности	9	Муж	Да	45	3	22	ИСТИНА	ИСТИНА
137	9890-241070	1	1	26000	12	Покупка товара	18500	11000	Покупка товаров длит. пользования	Нет	Да	Нет	Нет	1	Торговля оптовая, поср. деательность	3	Участие в основной деятельности	5	Муж	Нет	45	1	25	ИСТИНА	ЛОЖЬ
138	3213-617237	1	1	18000	6	Покупка товара	15500	8500	Покупка и ремонт недвижимости	Да	Да	Нет	Нет	1	Федеральное и муниципальное управление	4	Участие в основной деятельности	6	Жен	Да	29	0	19	ИСТИНА	ИСТИНА
139	9339-891553	1	1	27000	18	Иное	8000	5500	Покупка товаров длит. пользования	Да	Да	Нет	Нет	1	Салоны красоты и здоровья	6	Участие в основной деятельности	8	Жен	Да	19	0	13	ИСТИНА	ИСТИНА
140	0983-429825	1	1	53500	42	Покупка и ремонт недвижимости	9500	6000	Одежда, продукты питания и т.п.	Нет	Да	Нет	Нет	1	Вооруженные силы	8	Участие в основной деятельности	9	Муж	Да	22	1	8	ИСТИНА	ЛОЖЬ
141	6028-858172	1	1	18000	18	Покупка товара	5500	3000	Одежда, продукты питания и т.п.	Да	Да	Нет	Нет	1	Химия, парфюмерия, фармацефтика	8	Бухгалтерия, финансы и планирование	11	Муж	Нет	28	1	15	ИСТИНА	ИСТИНА
142	7925-447311	1	1	6000	6	Оплата за образование	7000	3000	Покупка и ремонт недвижимости	Да	Нет	Нет	Нет	1	Машиностроение и металлообработка	8	Участие в основной деятельности	8	Жен	Нет	23	0	15	ИСТИНА	ИСТИНА
143	6884-250730	1	1	8500	6	Покупка товара	7500	4000	Одежда, продукты питания и т.п.	Нет	Да	Нет	Да	1	Ощественное питание	5	Снабжение и сбыт	7	Муж	Да	47	2	22	ИСТИНА	ИСТИНА
144	9097-840533	1	1	17500	12	Оплата за образование	9000	7500	Турпоездки, развлечения и т.п.	Да	Нет	Да	Нет	1	Ощественное питание	10	Вспомогательный технический персонал	11	Жен	Нет	27	1	7	ЛОЖЬ	ЛОЖЬ
145	7347-003368	1	1	17500	18	Оплата за образование	5500	3500	Мобильная связь, Интернет	Да	Да	Нет	Нет	1	Увесилительный, игровой и шой-бизнес	2	Служба безопасности	3	Жен	Да	26	1	11	ИСТИНА	ИСТИНА
146	8594-049433	1	1	21000	12	Покупка товара	13000	6500	Одежда, продукты питания и т.п.	Да	Да	Да	Нет	1	Ощественное питание	4	Юридическая служба	7	Жен	Да	51	3	37	ИСТИНА	ИСТИНА
147	6405-346060	1	1	4000	6	Турпоездки, развлечения и т.п.	4000	2000	Покупка и ремонт недвижимости	Нет	Да	Нет	Нет	1	Машиностроение и металлообработка	10	Участие в основной деятельности	11	Жен	Да	69	3	44	ИСТИНА	ИСТИНА
148	5674-386161	1	1	19500	12	Покупка и ремонт недвижимости	8500	4000	Покупка товаров длит. пользования	Да	Нет	Нет	Нет	1	Юридические и нотариальные услуги	5	Участие в основной деятельности	5	Муж	Да	38	3	11	ИСТИНА	ИСТИНА
149	3233-643422	1	1	14500	12	Оплата за образование	6500	3000	Одежда, продукты питания и т.п.	Да	Да	Нет	Нет	1	Образование (комерч.)	4	Снабжение и сбыт	6	Муж	Да	48	2	26	ИСТИНА	ИСТИНА
