Институт: Фэи
| № |    Фамилия |    Cредний балл |    Возраст |
|315 |     Петров |               1 |         20 |
|316 |     Иванов |               1 |         20 |
|317 |     Петров |               1 |         20 |
|318 |    Соколов |               1 |         20 |
|319 |    Смирнов |               1 |         20 |
|320 |   Кузнецов |               1 |         20 |
|321 |   Васильев |               1 |         20 |
|322 |   Кузнецов |               1 |         20 |
|323 |    Смирнов |               1 |         20 |
|324 |   Васильев |               1 |         20 |
|325 |     Петров |               6 |         19 |
|326 |   Кузнецов |               6 |         19 |
|327 |   Михайлов |               6 |         19 |
|328 |    Соколов |               6 |         19 |
|329 |      Попов |               6 |         19 |
|330 |     Иванов |               6 |         19 |
|331 |    Соколов |               6 |         19 |
|332 |   Васильев |               6 |         19 |
|333 |    Смирнов |               6 |         19 |
|334 |   Васильев |               6 |         19 |
|335 |     Иванов |               6 |         19 |
|336 |   Кузнецов |               6 |         19 |
|337 |    Смирнов |               6 |         19 |
|338 |      Попов |               6 |         19 |
|339 |     Иванов |               6 |         19 |
|340 |     Иванов |               6 |         19 |
|341 |    Соколов |               6 |         19 |
|342 |   Васильев |               6 |         19 |
|343 |     Иванов |               6 |         19 |
|344 |   Васильев |               6 |         19 |
|345 |   Васильев |               6 |         19 |
|346 |   Михайлов |               6 |         19 |
|347 |   Михайлов |               6 |         19 |
|348 |    Соколов |               6 |         19 |
|349 |     Петров |               6 |         19 |
|350 |    Соколов |               6 |         19 |
|351 |     Петров |               6 |         19 |
|352 |     Иванов |               6 |         19 |
|353 |     Иванов |               6 |         19 |
|354 |     Петров |               5 |         19 |
|355 |    Смирнов |               5 |         19 |
|356 |    Смирнов |               5 |         19 |
|357 |   Михайлов |               5 |         19 |
|358 |   Михайлов |               5 |         19 |
|359 |     Иванов |               5 |         19 |
|360 |    Смирнов |               5 |         19 |
|361 |      Попов |               5 |         19 |
|362 |    Смирнов |               5 |         19 |
|363 |   Михайлов |               5 |         19 |
|364 |   Михайлов |               5 |         19 |
|365 |      Попов |               5 |         19 |
|366 |   Михайлов |               5 |         19 |
|367 |   Михайлов |               5 |         19 |
|368 |      Попов |               5 |         19 |
|369 |    Соколов |               5 |         19 |
|370 |     Петров |               5 |         19 |
|371 |    Смирнов |               5 |         19 |
|372 |    Смирнов |               5 |         19 |
|373 |   Михайлов |               5 |         19 |
|374 |    Соколов |               5 |         19 |
|375 |   Васильев |               5 |         19 |
|376 |   Михайлов |               5 |         19 |
|377 |   Кузнецов |               5 |         19 |
|378 |      Попов |               4 |         19 |
|379 |    Смирнов |               4 |         19 |
|380 |      Попов |               4 |         19 |
|381 |     Петров |               4 |         19 |
|382 |     Петров |               4 |         19 |
|383 |     Иванов |               4 |         19 |
|384 |      Попов |               4 |         19 |
|385 |    Смирнов |               4 |         19 |
|386 |   Михайлов |               4 |         19 |
|387 |     Петров |               4 |         19 |
|388 |   Васильев |               4 |         19 |
|389 |     Петров |               4 |         19 |
|390 |    Смирнов |               4 |         19 |
|391 |     Петров |               4 |         19 |
|392 |     Петров |               4 |         19 |
|393 |   Михайлов |               4 |         19 |
|394 |    Смирнов |               4 |         19 |
|395 |   Васильев |               4 |         19 |
|396 |   Михайлов |               4 |         19 |
|397 |     Иванов |               4 |         19 |
|398 |    Соколов |               4 |         19 |
|399 |      Попов |               4 |         19 |
|400 |   Васильев |               4 |         19 |
|401 |   Васильев |               4 |         19 |
|402 |      Попов |               4 |         19 |
|403 |   Кузнецов |               4 |         19 |
|404 |     Иванов |               4 |         19 |
|405 |    Смирнов |               4 |         19 |
|406 |   Кузнецов |               3 |         19 |
|407 |   Васильев |               3 |         19 |
|408 |   Михайлов |               3 |         19 |
|409 |     Иванов |               3 |         19 |
|410 |   Кузнецов |               3 |         19 |
|411 |      Попов |               3 |         19 |
|412 |   Михайлов |               3 |         19 |
|413 |   Михайлов |               3 |         19 |
|414 |    Смирнов |               3 |         19 |
|415 |    Смирнов |               3 |         19 |
|416 |   Васильев |               3 |         19 |
|417 |     Иванов |               3 |         19 |
|418 |    Смирнов |               3 |         19 |
|419 |   Васильев |               3 |         19 |
|420 |    Соколов |               3 |         19 |
|421 |     Петров |               3 |         19 |
|422 |     Петров |               3 |         19 |
|423 |   Кузнецов |               3 |         19 |
|424 |   Михайлов |               3 |         19 |
|425 |   Васильев |               3 |         19 |
|426 |    Соколов |               3 |         19 |
|427 |    Соколов |               3 |         19 |
|428 |   Васильев |               3 |         19 |
|429 |   Михайлов |               3 |         19 |
|430 |   Михайлов |               3 |         19 |
|431 |     Петров |               3 |         19 |
|432 |   Кузнецов |               3 |         19 |
|433 |     Иванов |               3 |         19 |
|434 |   Кузнецов |               3 |         19 |
|435 |   Васильев |               3 |         19 |
|436 |     Иванов |               2 |         19 |
|437 |    Смирнов |               2 |         19 |
|438 |   Васильев |               2 |         19 |
|439 |   Васильев |               2 |         19 |
|440 |    Смирнов |               2 |         19 |
|441 |   Васильев |               2 |         19 |
|442 |     Иванов |               2 |         19 |
|443 |     Петров |               2 |         19 |
|444 |   Васильев |               2 |         19 |
|445 |   Васильев |               2 |         19 |
|446 |   Васильев |               2 |         19 |
|447 |    Смирнов |               2 |         19 |
|448 |      Попов |               2 |         19 |
|449 |   Васильев |               2 |         19 |
|450 |   Васильев |               2 |         19 |
|451 |     Петров |               2 |         19 |
|452 |    Смирнов |               2 |         19 |
|453 |    Соколов |               2 |         19 |
|454 |   Михайлов |               2 |         19 |
|455 |      Попов |               2 |         19 |
|456 |      Попов |               2 |         19 |
|457 |     Иванов |               2 |         19 |
|458 |    Соколов |               2 |         19 |
|459 |      Попов |               2 |         19 |
|460 |   Михайлов |               1 |         19 |
|461 |     Иванов |               1 |         19 |
|462 |   Кузнецов |               1 |         19 |
|463 |      Попов |               1 |         19 |
|464 |    Смирнов |               1 |         19 |
|465 |     Петров |               1 |         19 |
|466 |     Петров |               1 |         19 |
|467 |    Смирнов |               1 |         19 |
|468 |    Соколов |               1 |         19 |
|469 |   Васильев |               1 |         19 |
|470 |    Смирнов |               1 |         19 |
|471 |   Васильев |               1 |         19 |
|472 |   Васильев |               1 |         19 |
|473 |    Смирнов |               1 |         19 |
|474 |    Соколов |               1 |         19 |
|475 |     Иванов |               1 |         19 |
|476 |   Михайлов |               1 |         19 |
|477 |      Попов |               1 |         19 |
|478 |     Иванов |               1 |         19 |
|479 |     Иванов |               1 |         19 |
|480 |      Попов |               1 |         19 |
|481 |   Михайлов |               1 |         19 |
|482 |    Соколов |               1 |         19 |
|483 |   Михайлов |               1 |         19 |
|484 |   Кузнецов |               1 |         19 |
|485 |    Соколов |               1 |         19 |
|486 |   Михайлов |               1 |         19 |
|487 |      Попов |               1 |         19 |
|488 |    Соколов |               6 |         18 |
|489 |   Михайлов |               6 |         18 |
|490 |   Васильев |               6 |         18 |
|491 |   Михайлов |               6 |         18 |
|492 |   Кузнецов |               6 |         18 |
|493 |    Соколов |               6 |         18 |
|494 |   Михайлов |               6 |         18 |
|495 |   Васильев |               6 |         18 |
|496 |    Соколов |               6 |         18 |
|497 |   Михайлов |               6 |         18 |
|498 |   Кузнецов |               6 |         18 |
|499 |    Соколов |               6 |         18 |
|500 |   Кузнецов |               6 |         18 |
|501 |      Попов |               6 |         18 |
|502 |     Петров |               6 |         18 |
|503 |   Михайлов |               6 |         18 |
|504 |   Васильев |               6 |         18 |
|505 |   Кузнецов |               6 |         18 |
|506 |      Попов |               6 |         18 |
|507 |   Михайлов |               6 |         18 |
|508 |      Попов |               6 |         18 |
|509 |      Попов |               6 |         18 |
|510 |     Иванов |               5 |         18 |
|511 |   Кузнецов |               5 |         18 |
|512 |     Петров |               5 |         18 |
|513 |      Попов |               5 |         18 |
|514 |      Попов |               5 |         18 |
|515 |    Смирнов |               5 |         18 |
|516 |     Петров |               5 |         18 |
|517 |   Васильев |               5 |         18 |
|518 |     Иванов |               5 |         18 |
|519 |   Михайлов |               5 |         18 |
|520 |   Кузнецов |               5 |         18 |
|521 |   Васильев |               5 |         18 |
|522 |     Иванов |               5 |         18 |
|523 |   Кузнецов |               5 |         18 |
|524 |   Михайлов |               5 |         18 |
|525 |   Васильев |               5 |         18 |
|526 |   Кузнецов |               4 |         18 |
|527 |    Соколов |               4 |         18 |
|528 |     Петров |               4 |         18 |
|529 |   Кузнецов |               4 |         18 |
|530 |    Соколов |               4 |         18 |
|531 |   Кузнецов |               4 |         18 |
|532 |   Кузнецов |               4 |         18 |
|533 |      Попов |               4 |         18 |
|534 |    Соколов |               4 |         18 |
|535 |      Попов |               4 |         18 |
|536 |   Кузнецов |               4 |         18 |
|537 |    Соколов |               4 |         18 |
|538 |      Попов |               4 |         18 |
|539 |   Михайлов |               4 |         18 |
|540 |      Попов |               4 |         18 |
|541 |   Васильев |               4 |         18 |
|542 |   Кузнецов |               4 |         18 |
|543 |   Кузнецов |               4 |         18 |
|544 |   Васильев |               4 |         18 |
|545 |   Васильев |               4 |         18 |
|546 |   Васильев |               4 |         18 |
|547 |      Попов |               3 |         18 |
|548 |   Кузнецов |               3 |         18 |
|549 |   Васильев |               3 |         18 |
|550 |     Петров |               3 |         18 |
|551 |   Васильев |               3 |         18 |
|552 |    Смирнов |               3 |         18 |
|553 |     Иванов |               3 |         18 |
|554 |     Петров |               3 |         18 |
|555 |   Кузнецов |               3 |         18 |
|556 |     Петров |               3 |         18 |
|557 |    Соколов |               3 |         18 |
|558 |     Иванов |               3 |         18 |
|559 |   Кузнецов |               3 |         18 |
|560 |   Васильев |               3 |         18 |
|561 |    Соколов |               3 |         18 |
|562 |    Смирнов |               3 |         18 |
|563 |   Кузнецов |               3 |         18 |
|564 |     Петров |               3 |         18 |
|565 |      Попов |               3 |         18 |
|566 |     Иванов |               3 |         18 |
|567 |     Иванов |               3 |         18 |
|568 |    Смирнов |               3 |         18 |
|569 |   Кузнецов |               2 |         18 |
|570 |     Петров |               2 |         18 |
|571 |   Кузнецов |               2 |         18 |
|572 |      Попов |               2 |         18 |
|573 |   Васильев |               2 |         18 |
|574 |   Кузнецов |               2 |         18 |
|575 |   Кузнецов |               2 |         18 |
|576 |   Михайлов |               2 |         18 |
|577 |   Михайлов |               2 |         18 |
|578 |     Петров |               2 |         18 |
|579 |   Кузнецов |               2 |         18 |
|580 |   Михайлов |               2 |         18 |
|581 |     Иванов |               2 |         18 |
|582 |   Михайлов |               2 |         18 |
|583 |     Иванов |               2 |         18 |
|584 |     Петров |               2 |         18 |
|585 |     Петров |               2 |         18 |
|586 |   Михайлов |               2 |         18 |
|587 |     Иванов |               2 |         18 |
|588 |     Иванов |               1 |         18 |
|589 |    Соколов |               1 |         18 |
|590 |      Попов |               1 |         18 |
|591 |   Михайлов |               1 |         18 |
|592 |     Иванов |               1 |         18 |
|593 |   Кузнецов |               1 |         18 |
|594 |   Кузнецов |               1 |         18 |
|595 |      Попов |               1 |         18 |
|596 |   Михайлов |               1 |         18 |
|597 |      Попов |               1 |         18 |
|598 |     Иванов |               1 |         18 |
|599 |     Петров |               1 |         18 |
|600 |   Михайлов |               1 |         18 |
|601 |    Соколов |               1 |         18 |
|602 |     Иванов |               1 |         18 |
|603 |      Попов |               6 |         17 |
|604 |   Михайлов |               6 |         17 |
|605 |    Смирнов |               6 |         17 |
|606 |   Васильев |               6 |         17 |
|607 |     Петров |               6 |         17 |
|608 |     Петров |               6 |         17 |
|609 |     Иванов |               6 |         17 |
|610 |    Смирнов |               6 |         17 |
|611 |     Иванов |               6 |         17 |
|612 |   Васильев |               6 |         17 |
|613 |   Михайлов |               6 |         17 |
|614 |   Михайлов |               6 |         17 |
|615 |   Кузнецов |               6 |         17 |
|616 |    Смирнов |               6 |         17 |
|617 |    Соколов |               6 |         17 |
|618 |     Иванов |               6 |         17 |
|619 |     Петров |               6 |         17 |
|620 |   Васильев |               6 |         17 |
|621 |     Иванов |               6 |         17 |
|622 |    Соколов |               6 |         17 |
|623 |    Смирнов |               6 |         17 |
|624 |     Петров |               6 |         17 |
|625 |   Васильев |               6 |         17 |
|626 |   Васильев |               6 |         17 |
|627 |   Васильев |               6 |         17 |
|628 |     Иванов |               6 |         17 |
|629 |    Соколов |               6 |         17 |
|630 |      Попов |               5 |         17 |
|631 |    Соколов |               5 |         17 |
|632 |   Михайлов |               5 |         17 |
|633 |   Михайлов |               5 |         17 |
|634 |   Кузнецов |               5 |         17 |
|635 |     Петров |               5 |         17 |
|636 |    Смирнов |               5 |         17 |
|637 |     Петров |               5 |         17 |
|638 |   Васильев |               5 |         17 |
|639 |     Иванов |               5 |         17 |
|640 |   Кузнецов |               5 |         17 |
|641 |   Кузнецов |               5 |         17 |
|642 |      Попов |               5 |         17 |
|643 |     Иванов |               5 |         17 |
|644 |     Петров |               5 |         17 |
|645 |    Смирнов |               5 |         17 |
|646 |    Смирнов |               5 |         17 |
|647 |   Кузнецов |               5 |         17 |
|648 |   Михайлов |               5 |         17 |
|649 |   Кузнецов |               5 |         17 |
|650 |    Соколов |               5 |         17 |
|651 |   Михайлов |               5 |         17 |
|652 |   Михайлов |               5 |         17 |
|653 |   Кузнецов |               5 |         17 |
|654 |    Соколов |               5 |         17 |
|655 |   Кузнецов |               5 |         17 |
|656 |      Попов |               4 |         17 |
|657 |   Кузнецов |               4 |         17 |
|658 |     Петров |               4 |         17 |
|659 |   Михайлов |               4 |         17 |
|660 |   Кузнецов |               4 |         17 |
|661 |     Петров |               4 |         17 |
|662 |   Михайлов |               4 |         17 |
|663 |      Попов |               4 |         17 |
|664 |     Петров |               4 |         17 |
|665 |   Васильев |               4 |         17 |
|666 |   Васильев |               4 |         17 |
|667 |   Кузнецов |               4 |         17 |
|668 |   Михайлов |               4 |         17 |
|669 |    Смирнов |               4 |         17 |
|670 |   Кузнецов |               4 |         17 |
|671 |    Смирнов |               4 |         17 |
|672 |    Соколов |               4 |         17 |
|673 |   Михайлов |               4 |         17 |
|674 |    Соколов |               4 |         17 |
|675 |   Кузнецов |               4 |         17 |
|676 |   Кузнецов |               4 |         17 |
|677 |   Михайлов |               4 |         17 |
|678 |      Попов |               3 |         17 |
|679 |    Соколов |               3 |         17 |
|680 |   Васильев |               3 |         17 |
|681 |      Попов |               3 |         17 |
|682 |      Попов |               3 |         17 |
|683 |   Михайлов |               3 |         17 |
|684 |      Попов |               3 |         17 |
|685 |    Соколов |               3 |         17 |
|686 |    Соколов |               3 |         17 |
|687 |     Петров |               3 |         17 |
|688 |   Васильев |               3 |         17 |
|689 |    Смирнов |               3 |         17 |
|690 |    Смирнов |               3 |         17 |
|691 |   Кузнецов |               3 |         17 |
|692 |   Михайлов |               3 |         17 |
|693 |    Соколов |               3 |         17 |
|694 |      Попов |               3 |         17 |
|695 |   Кузнецов |               3 |         17 |
|696 |     Иванов |               3 |         17 |
|697 |    Соколов |               3 |         17 |
|698 |     Иванов |               3 |         17 |
|699 |    Смирнов |               3 |         17 |
|700 |     Иванов |               3 |         17 |
|701 |    Смирнов |               3 |         17 |
|702 |   Васильев |               3 |         17 |
|703 |     Иванов |               3 |         17 |
|704 |   Михайлов |               3 |         17 |
|705 |     Иванов |               3 |         17 |
|706 |     Петров |               3 |         17 |
|707 |      Попов |               3 |         17 |
|708 |     Петров |               3 |         17 |
|709 |    Соколов |               3 |         17 |
|710 |     Петров |               2 |         17 |
|711 |     Иванов |               2 |         17 |
|712 |     Петров |               2 |         17 |
|713 |     Иванов |               2 |         17 |
|714 |     Петров |               2 |         17 |
|715 |    Соколов |               2 |         17 |
|716 |     Петров |               2 |         17 |
|717 |   Михайлов |               2 |         17 |
|718 |     Петров |               2 |         17 |
|719 |    Смирнов |               2 |         17 |
|720 |    Соколов |               2 |         17 |
|721 |     Петров |               2 |         17 |
|722 |    Соколов |               2 |         17 |
|723 |    Соколов |               2 |         17 |
|724 |    Соколов |               2 |         17 |
|725 |   Васильев |               2 |         17 |
|726 |      Попов |               2 |         17 |
|727 |     Петров |               2 |         17 |
|728 |   Кузнецов |               2 |         17 |
|729 |    Соколов |               2 |         17 |
|730 |     Иванов |               2 |         17 |
|731 |     Иванов |               2 |         17 |
|732 |    Соколов |               2 |         17 |
|733 |      Попов |               2 |         17 |
|734 |   Кузнецов |               2 |         17 |
|735 |   Кузнецов |               1 |         17 |
|736 |   Васильев |               1 |         17 |
|737 |   Кузнецов |               1 |         17 |
|738 |   Кузнецов |               1 |         17 |
|739 |    Смирнов |               1 |         17 |
|740 |    Смирнов |               1 |         17 |
|741 |     Петров |               1 |         17 |
|742 |    Смирнов |               1 |         17 |
|743 |   Васильев |               1 |         17 |
|744 |   Кузнецов |               1 |         17 |
|745 |   Михайлов |               1 |         17 |
|746 |     Иванов |               1 |         17 |
|747 |    Смирнов |               1 |         17 |
|748 |    Соколов |               1 |         17 |
|749 |   Кузнецов |               1 |         17 |
|750 |    Соколов |               1 |         17 |
|751 |     Петров |               1 |         17 |
|752 |    Соколов |               1 |         17 |
|753 |    Смирнов |               1 |         17 |
|754 |      Попов |               1 |         17 |
|755 |   Кузнецов |               1 |         17 |
|756 |     Иванов |               1 |         17 |
|757 |     Иванов |               1 |         17 |
|758 |     Иванов |               1 |         17 |
|759 |    Смирнов |               6 |         16 |
|760 |   Васильев |               6 |         16 |
|761 |      Попов |               6 |         16 |
|762 |   Михайлов |               6 |         16 |
|763 |   Васильев |               6 |         16 |
|764 |    Соколов |               6 |         16 |
|765 |     Петров |               6 |         16 |
|766 |    Смирнов |               6 |         16 |
|767 |   Михайлов |               6 |         16 |
|768 |     Иванов |               6 |         16 |
|769 |     Петров |               6 |         16 |
|770 |   Васильев |               6 |         16 |
|771 |     Иванов |               6 |         16 |
|772 |   Кузнецов |               6 |         16 |
|773 |      Попов |               6 |         16 |
|774 |   Васильев |               6 |         16 |
|775 |    Смирнов |               6 |         16 |
|776 |      Попов |               6 |         16 |
|777 |    Соколов |               6 |         16 |
|778 |   Васильев |               6 |         16 |
|779 |   Васильев |               6 |         16 |
|780 |    Соколов |               6 |         16 |
|781 |      Попов |               6 |         16 |
|782 |   Михайлов |               6 |         16 |
|783 |    Соколов |               6 |         16 |
|784 |    Соколов |               6 |         16 |
|785 |      Попов |               5 |         16 |
|786 |   Васильев |               5 |         16 |
|787 |   Васильев |               5 |         16 |
|788 |   Кузнецов |               5 |         16 |
|789 |    Смирнов |               5 |         16 |
|790 |      Попов |               5 |         16 |
|791 |     Иванов |               5 |         16 |
|792 |   Васильев |               5 |         16 |
|793 |     Петров |               5 |         16 |
|794 |   Васильев |               5 |         16 |
|795 |   Кузнецов |               5 |         16 |
|796 |   Васильев |               5 |         16 |
|797 |   Кузнецов |               5 |         16 |
|798 |    Соколов |               5 |         16 |
|799 |     Иванов |               5 |         16 |
|800 |     Иванов |               5 |         16 |
|801 |    Смирнов |               5 |         16 |
|802 |     Иванов |               5 |         16 |
|803 |      Попов |               5 |         16 |
|804 |     Петров |               5 |         16 |
|805 |      Попов |               5 |         16 |
|806 |   Михайлов |               5 |         16 |
|807 |   Васильев |               5 |         16 |
|808 |   Михайлов |               5 |         16 |
|809 |     Иванов |               5 |         16 |
|810 |      Попов |               5 |         16 |
|811 |   Михайлов |               4 |         16 |
|812 |   Михайлов |               4 |         16 |
|813 |     Иванов |               4 |         16 |
|814 |     Петров |               4 |         16 |
|815 |    Соколов |               4 |         16 |
|816 |   Михайлов |               4 |         16 |
|817 |   Васильев |               4 |         16 |
|818 |   Васильев |               4 |         16 |
|819 |    Смирнов |               4 |         16 |
|820 |     Иванов |               4 |         16 |
|821 |     Иванов |               4 |         16 |
|822 |    Соколов |               4 |         16 |
|823 |      Попов |               4 |         16 |
|824 |     Петров |               4 |         16 |
|825 |     Иванов |               4 |         16 |
|826 |     Петров |               4 |         16 |
|827 |     Петров |               4 |         16 |
|828 |     Иванов |               4 |         16 |
|829 |     Петров |               4 |         16 |
|830 |   Кузнецов |               3 |         16 |
|831 |   Васильев |               3 |         16 |
|832 |   Кузнецов |               3 |         16 |
|833 |    Соколов |               3 |         16 |
|834 |    Соколов |               3 |         16 |
|835 |     Иванов |               3 |         16 |
|836 |      Попов |               3 |         16 |
|837 |   Кузнецов |               3 |         16 |
|838 |    Смирнов |               3 |         16 |
|839 |     Иванов |               3 |         16 |
|840 |      Попов |               3 |         16 |
|841 |      Попов |               3 |         16 |
|842 |     Петров |               3 |         16 |
|843 |   Кузнецов |               3 |         16 |
|844 |     Петров |               3 |         16 |
|845 |    Смирнов |               3 |         16 |
|846 |      Попов |               3 |         16 |
|847 |     Иванов |               3 |         16 |
|848 |     Петров |               3 |         16 |
|849 |   Кузнецов |               3 |         16 |
|850 |    Смирнов |               3 |         16 |
|851 |      Попов |               3 |         16 |
|852 |    Соколов |               3 |         16 |
|853 |     Иванов |               3 |         16 |
|854 |     Иванов |               3 |         16 |
|855 |     Иванов |               3 |         16 |
|856 |   Михайлов |               3 |         16 |
|857 |     Иванов |               3 |         16 |
|858 |    Соколов |               3 |         16 |
|859 |   Кузнецов |               3 |         16 |
|860 |    Соколов |               3 |         16 |
|861 |   Васильев |               2 |         16 |
|862 |     Петров |               2 |         16 |
|863 |   Васильев |               2 |         16 |
|864 |   Михайлов |               2 |         16 |
|865 |     Иванов |               2 |         16 |
|866 |   Кузнецов |               2 |         16 |
|867 |      Попов |               2 |         16 |
|868 |   Михайлов |               2 |         16 |
|869 |   Михайлов |               2 |         16 |
|870 |   Михайлов |               2 |         16 |
|871 |    Смирнов |               2 |         16 |
|872 |     Иванов |               2 |         16 |
|873 |    Смирнов |               2 |         16 |
|874 |     Иванов |               2 |         16 |
|875 |   Кузнецов |               2 |         16 |
|876 |     Иванов |               2 |         16 |
|877 |    Смирнов |               2 |         16 |
|878 |    Смирнов |               2 |         16 |
|879 |      Попов |               2 |         16 |
|880 |    Смирнов |               2 |         16 |
|881 |      Попов |               2 |         16 |
|882 |     Иванов |               2 |         16 |
|883 |   Васильев |               2 |         16 |
|884 |   Васильев |               2 |         16 |
|885 |      Попов |               2 |         16 |
|886 |      Попов |               2 |         16 |
|887 |     Петров |               2 |         16 |
|888 |    Смирнов |               2 |         16 |
|889 |      Попов |               1 |         16 |
|890 |    Смирнов |               1 |         16 |
|891 |    Смирнов |               1 |         16 |
|892 |    Соколов |               1 |         16 |
|893 |     Иванов |               1 |         16 |
|894 |      Попов |               1 |         16 |
|895 |   Михайлов |               1 |         16 |
|896 |   Кузнецов |               1 |         16 |
|897 |   Васильев |               1 |         16 |
|898 |   Васильев |               1 |         16 |
|899 |   Кузнецов |               1 |         16 |
|900 |   Кузнецов |               1 |         16 |
|901 |    Соколов |               1 |         16 |
|902 |     Петров |               1 |         16 |
|903 |     Петров |               1 |         16 |
|904 |   Кузнецов |               1 |         16 |
|905 |    Соколов |               1 |         16 |
|906 |   Кузнецов |               1 |         16 |
|907 |   Васильев |               1 |         16 |
|908 |   Михайлов |               1 |         16 |
|909 |    Соколов |               1 |         16 |
|910 |   Васильев |               1 |         16 |
|911 |      Попов |               1 |         16 |
|912 |      Попов |               1 |         16 |
|913 |   Васильев |               1 |         16 |
|914 |   Михайлов |               6 |         15 |
|915 |     Петров |               6 |         15 |
|916 |    Соколов |               6 |         15 |
|917 |   Васильев |               6 |         15 |
|918 |    Смирнов |               6 |         15 |
|919 |   Михайлов |               6 |         15 |
|920 |   Васильев |               6 |         15 |
|921 |      Попов |               6 |         15 |
|922 |     Иванов |               6 |         15 |
|923 |    Соколов |               6 |         15 |
|924 |    Соколов |               6 |         15 |
|925 |   Васильев |               6 |         15 |
|926 |     Иванов |               6 |         15 |
|927 |     Иванов |               6 |         15 |
|928 |    Смирнов |               6 |         15 |
|929 |   Михайлов |               5 |         15 |
|930 |   Кузнецов |               5 |         15 |
|931 |     Иванов |               5 |         15 |
|932 |     Иванов |               5 |         15 |
|933 |     Иванов |               5 |         15 |
|934 |    Смирнов |               5 |         15 |
|935 |     Петров |               5 |         15 |
|936 |   Михайлов |               5 |         15 |
|937 |    Соколов |               5 |         15 |
|938 |     Иванов |               5 |         15 |
|939 |   Кузнецов |               5 |         15 |
|940 |   Кузнецов |               4 |         15 |
|941 |     Иванов |               4 |         15 |
|942 |      Попов |               4 |         15 |
|943 |    Соколов |               4 |         15 |
|944 |   Васильев |               4 |         15 |
|945 |   Васильев |               4 |         15 |
|946 |     Иванов |               4 |         15 |
|947 |     Петров |               3 |         15 |
|948 |      Попов |               3 |         15 |
|949 |    Смирнов |               3 |         15 |
|950 |   Михайлов |               3 |         15 |
|951 |     Иванов |               3 |         15 |
|952 |   Кузнецов |               3 |         15 |
|953 |   Васильев |               3 |         15 |
|954 |   Кузнецов |               3 |         15 |
|955 |      Попов |               3 |         15 |
|956 |   Васильев |               3 |         15 |
|957 |     Иванов |               2 |         15 |
|958 |    Соколов |               2 |         15 |
|959 |    Смирнов |               2 |         15 |
|960 |   Кузнецов |               2 |         15 |
|961 |   Васильев |               2 |         15 |
|962 |    Смирнов |               2 |         15 |
|963 |      Попов |               2 |         15 |
|964 |   Михайлов |               2 |         15 |
|965 |    Соколов |               2 |         15 |
|966 |   Васильев |               1 |         15 |
|967 |   Васильев |               1 |         15 |
|968 |   Васильев |               1 |         15 |
|969 |   Михайлов |               1 |         15 |
|970 |    Соколов |               1 |         15 |
|971 |   Михайлов |               1 |         15 |
|972 |   Михайлов |               1 |         15 |
|973 |      Попов |               1 |         15 |
|974 |   Васильев |               1 |         15 |
|975 |   Кузнецов |               1 |         15 |
|976 |    Смирнов |               1 |         15 |
|977 |     Иванов |               1 |         15 |
|978 |     Петров |               1 |         15 |
|979 |   Михайлов |               1 |         15 |
|980 |   Васильев |               1 |         15 |
|981 |      Попов |               1 |         15 |
|982 |   Михайлов |               1 |         15 |

Институт: Имикн
| № |    Фамилия |    Cредний балл |    Возраст |
-------------------------------------------------
| 1 |   Кузнецов |               6 |         22 |
| 2 |   Кузнецов |               6 |         22 |
| 3 |    Смирнов |               6 |         22 |
| 4 |     Иванов |               6 |         22 |
| 5 |    Смирнов |               6 |         22 |
| 6 |   Кузнецов |               6 |         22 |
| 7 |   Михайлов |               6 |         22 |
| 8 |     Петров |               6 |         22 |
| 9 |   Васильев |               6 |         22 |
|10 |    Соколов |               5 |         22 |
|11 |     Иванов |               5 |         22 |
|12 |    Соколов |               5 |         22 |
|13 |    Соколов |               5 |         22 |
|14 |    Смирнов |               5 |         22 |
|15 |     Иванов |               5 |         22 |
|16 |     Петров |               5 |         22 |
|17 |   Васильев |               5 |         22 |
|18 |    Соколов |               5 |         22 |
|19 |     Петров |               5 |         22 |
|20 |     Иванов |               5 |         22 |
|21 |    Соколов |               5 |         22 |
|22 |    Смирнов |               4 |         22 |
|23 |    Соколов |               4 |         22 |
|24 |   Васильев |               4 |         22 |
|25 |   Васильев |               4 |         22 |
|26 |    Смирнов |               4 |         22 |
|27 |   Кузнецов |               4 |         22 |
|28 |   Васильев |               4 |         22 |
|29 |    Соколов |               4 |         22 |
|30 |   Кузнецов |               4 |         22 |
|31 |     Иванов |               4 |         22 |
|32 |   Кузнецов |               4 |         22 |
|33 |     Петров |               4 |         22 |
|34 |    Смирнов |               3 |         22 |
|35 |     Петров |               3 |         22 |
|36 |   Михайлов |               3 |         22 |
|37 |     Петров |               3 |         22 |
|38 |    Соколов |               3 |         22 |
|39 |    Смирнов |               3 |         22 |
|40 |   Кузнецов |               2 |         22 |
|41 |   Михайлов |               2 |         22 |
|42 |   Михайлов |               2 |         22 |
|43 |   Михайлов |               2 |         22 |
|44 |    Смирнов |               2 |         22 |
|45 |    Смирнов |               2 |         22 |
|46 |     Иванов |               2 |         22 |
|47 |    Смирнов |               2 |         22 |
|48 |     Иванов |               2 |         22 |
|49 |      Попов |               2 |         22 |
|50 |     Петров |               2 |         22 |
|51 |      Попов |               2 |         22 |
|52 |   Михайлов |               2 |         22 |
|53 |    Смирнов |               2 |         22 |
